id,item,price,date,time,quantity
832,Baked Falafel,5.49,11/26/2024,9:49 AM,30
833,Weighted Blanket,79.99,4/5/2024,5:44 AM,3
834,Smart Thermos,39.99,3/3/2024,3:31 AM,30
835,Red Lentil Pasta,3.99,1/19/2024,4:41 PM,8
836,Wildflower Honey,4.99,6/9/2024,5:35 AM,11
837,Non-Toxic Crayons for Kids,10.99,12/25/2024,7:22 AM,25
838,Folding Backpack Chair,49.99,8/3/2024,12:59 AM,25
839,Vegetable Sushi Rolls,5.99,12/10/2024,8:44 AM,4
840,Patterned Knit Scarf,25.99,5/20/2024,6:39 PM,22
841,Classic Caesar Dressing,3.49,7/31/2024,4:04 AM,8
842,Vintage Button-Down Shirt,45.99,7/17/2024,5:31 AM,16
843,Body Pillow Case,14.99,2/2/2024,4:20 PM,13
844,Honey Lemon Tea,3.29,3/4/2024,12:48 AM,14
845,Thai Peanut Noodles,4.99,12/2/2024,10:02 PM,4
846,Sweet Potato Chips,2.99,11/22/2024,3:32 PM,2
847,Maple Almond Butter,5.49,1/14/2024,12:08 PM,2
848,Sliced Turkey Breast,5.49,7/16/2024,2:15 PM,3
849,Smart Home Security Camera,79.99,6/16/2024,6:09 AM,25
850,Video Camera,199,11/10/2024,8:45 AM,10
851,Incense Holder,14.99,11/20/2024,9:26 AM,9
852,Wireless Gaming Mouse,39.99,7/1/2024,2:22 AM,23
853,Electric Bike,899.99,2/14/2024,1:23 PM,4
854,Foam Muscle Roller,24.99,12/2/2024,8:39 PM,25
855,Sweet Potatoes,0.89,1/21/2024,6:27 PM,21
856,Cabbage Slaw Mix,2.29,2/2/2024,8:12 AM,18
857,Classic Watch,99.99,1/14/2024,10:27 PM,26
858,Portable Massage Gun,79.99,10/18/2024,11:48 AM,14
859,Artisan Cornbread Mix,2.49,5/1/2024,5:27 PM,2
860,Printed Maxi Skirt,39.99,10/17/2024,3:31 AM,9
861,Shredded Cheese,4.29,6/30/2024,2:49 AM,7
862,Frozen Acai Bowl,6.49,12/17/2024,8:38 AM,5
863,Gardening Tool Belt,22.99,9/3/2024,9:24 AM,10
864,Tomato Sauce,2.79,4/5/2024,3:12 AM,28
865,Emergency Preparedness Kit,99.99,4/6/2024,1:15 AM,1
866,Ceramic Bakeware Set,49.99,10/3/2024,7:21 PM,28
867,High-Quality Yoga Block,12.99,7/16/2024,2:12 AM,11
868,Sriracha Sauce,3.19,6/8/2024,6:07 PM,13
869,Smart Wi-Fi Camera,89.99,7/16/2024,8:54 PM,26
870,Roasted Red Pepper Sauce,3.29,7/11/2024,12:45 PM,13
871,Compact Shoe Rack,34.99,6/11/2024,1:44 PM,15
872,Sesame Ginger Dressing,4.09,3/29/2024,5:02 AM,24
873,Smartphone Projector,29.99,7/3/2024,10:14 PM,6
874,Frozen Mixed Berries,5.99,10/24/2024,2:29 PM,1
875,Snack Container Set,19.99,4/26/2024,1:26 PM,13
876,Foam Roller for Muscle Recovery,29.99,2/19/2024,11:44 PM,15
877,Pineapple Salsa,4.29,6/19/2024,2:36 AM,16
878,Maple Cinnamon Granola Bars,3.49,2/13/2024,8:35 PM,24
879,Garlic Butter Shrimp,8.99,5/17/2024,5:13 PM,7
880,Sweet and Spicy Barbecue Sauce,3.99,11/22/2024,10:50 AM,29
881,Vanilla Almond Granola,4.29,2/25/2024,2:22 PM,10
882,Pretzel Bites,4.99,9/5/2024,10:52 PM,29
883,DIY Candle Making Kit,22.99,5/9/2024,5:52 AM,22
884,USB Flash Drive,9.99,1/21/2025,10:17 PM,10
885,Raspberry Lemonade Mix,3.99,5/24/2024,5:08 AM,23
886,Cable Knit Beanie,19.99,3/27/2024,7:40 PM,3
887,Coconut Milk Ice Cream,6.99,12/19/2024,3:51 PM,16
888,Whisk Set,12.99,5/4/2024,1:05 PM,25
889,Oven Thermometer,11.99,7/11/2024,3:34 PM,8
890,Dried Apricots,3.79,4/28/2024,3:11 PM,25
891,Chic Ankle Strap Heels,69.99,9/3/2024,6:14 AM,5
892,Plant Watering Spikes,12.99,8/13/2024,8:05 PM,29
893,Almond Quinoa Salad,5.99,12/5/2024,10:55 PM,14
894,Coconut Lime Rice,2.99,10/9/2024,6:28 AM,21
895,Bamboo Toothbrush Holder,14.99,11/6/2024,10:09 PM,26
896,Black Bean Salsa,3.49,6/7/2024,12:21 PM,2
897,Honey Graham Crackers,3.29,11/1/2024,8:12 PM,19
898,USB Flash Drive,9.99,10/27/2024,5:18 AM,21
899,Camera Tripod,49.99,1/13/2025,6:47 AM,9
900,Freestanding Wine Rack,79.99,4/13/2024,2:06 AM,7
901,Cinnamon Roll Protein Bar,2.99,11/24/2024,9:41 PM,22
902,Vegetable Chips,3.99,6/16/2024,2:35 AM,14
903,Electric Pressure Washer,199.99,11/4/2024,10:21 PM,25
904,Chickpeas,1.29,3/29/2024,1:23 AM,5
905,Cotton Sweatpants,29.99,11/15/2024,1:32 AM,10
906,Thai Basil Fried Rice,5.99,11/3/2024,2:00 AM,6
907,Vegetable Spring Rolls,6.49,1/24/2024,8:11 AM,13
908,Honey BBQ Riblets,12.99,11/16/2024,10:51 AM,17
909,Pineapple Rings,2.49,7/24/2024,2:07 PM,20
910,Honey mustard chicken tenders,7.99,11/4/2024,11:09 PM,16
911,Bamboo Memory Foam Pillow,34.99,3/27/2024,12:28 PM,28
912,Wireless Security Camera,109.99,1/18/2025,4:06 PM,5
913,Personal Safety Alarm,12.99,4/3/2024,2:29 AM,9
914,Electric Pressure Cooker,89.99,8/21/2024,5:18 PM,13
915,Portable UV Sterilizer,19.99,6/16/2024,4:22 AM,12
916,Chocolate Mint Cookies,2.29,8/23/2024,8:20 PM,18
917,Chocolate Chip Cliff Bars,2.49,1/18/2024,8:25 PM,20
918,Reflective Safety Vest,19.99,11/18/2024,6:57 PM,11
919,Balsamic Vinegar,4.99,6/4/2024,1:12 PM,27
920,Travel Size Toiletry Bottles,9.99,1/9/2025,1:34 PM,23
921,Honey Garlic Shrimp,8.49,11/16/2024,3:36 PM,8
922,Roasted Garlic Aioli,3.79,8/18/2024,10:13 AM,1
923,Himalayan Pink Salt,1.99,10/27/2024,11:42 AM,25
924,Cotton Quilted Throw Blanket,39.99,2/5/2024,11:36 AM,12
925,Almond Flour Brownies,5.99,3/9/2024,8:28 AM,11
926,Wireless Induction Charger,19.99,11/20/2024,5:43 PM,4
927,Adjustable Stand for Tablets and Smartphones,19.99,6/4/2024,3:02 AM,25
928,Cabbage,1.29,1/5/2025,6:01 PM,19
929,Organic Italian Seasoning,2.99,1/6/2025,10:53 AM,19
930,Wild Rice & Quinoa Mix,2.99,9/10/2024,3:49 AM,30
931,Mushrooms,2.99,7/8/2024,2:41 PM,21
932,Glass Tea Pot,34.99,9/24/2024,12:58 PM,23
933,Fitness Activity Journal,14.99,11/11/2024,11:14 AM,20
934,Portable Hammock Swing,59.99,11/29/2024,6:02 PM,8
935,Brown Sugar,1.79,2/14/2024,2:06 PM,26
936,Marinated Artichokes,3.79,10/10/2024,11:23 PM,25
937,Weighted Blanket for Adults,59.99,8/27/2024,9:05 AM,17
938,Chili Beans (canned),1.69,8/19/2024,7:21 AM,21
939,Stainless Steel Water Bottle,25.99,10/13/2024,8:57 PM,12
940,Travel Document Organizer,15.99,4/8/2024,12:48 AM,12
941,Frozen Spinach,1.99,3/23/2024,10:00 PM,11
942,Classic Leather Wallet,34.99,4/6/2024,2:46 PM,15
943,Electric Milk Frother,19.99,1/29/2025,5:05 AM,8
944,DIY Candle Kit,34.99,1/22/2024,3:13 AM,20
945,Garden Hose Reel,49.99,9/2/2024,6:51 AM,30
946,Garlic and Herb Rub,2.29,10/4/2024,3:44 AM,7
947,Pleated Midi Dress,79.99,9/5/2024,11:20 AM,11
948,Over-the-Door Hooks,12.99,4/10/2024,3:35 PM,13
949,Memory Foam Pillow,39.99,4/18/2024,7:29 AM,10
950,Digital Drawing Tablet,79.99,6/5/2024,6:48 AM,3
951,Vegetable Stir-Fry Kit,6.99,2/10/2024,10:10 PM,17
952,Reusable Coffee Filter,10.99,5/1/2024,7:41 PM,3
953,Blueberry Oatmeal Cups,3.29,1/28/2025,1:13 PM,22
954,Indoor Grill,59.99,8/15/2024,4:44 PM,16
955,Noise-Canceling Earbuds,79.99,1/15/2024,9:11 PM,6
956,Folding Backpack Chair,49.99,1/17/2025,3:10 PM,14
957,LED Desk Lamp with USB Charging Port,29.99,9/24/2024,11:59 AM,14
958,Digital Photo Frame,79.99,2/10/2024,4:14 AM,22
959,Bamboo Toothbrush Holder,14.99,11/13/2024,4:42 AM,25
960,Buffalo Chicken Dip,5.99,9/4/2024,11:33 PM,7
961,Wall-Mounted Wine Rack,39.99,5/3/2024,9:03 AM,27
962,Cinnamon Roll Kit,6.89,2/24/2024,4:24 PM,15
963,LED Desk Lamp with USB Charging,39.99,4/19/2024,2:30 PM,29
964,LED Desk Lamp with USB Charging,39.99,2/18/2024,5:19 AM,14
965,Chicken Breasts,9.99,4/4/2024,4:34 PM,25
966,Tortilla Chips,2.99,1/19/2025,11:52 PM,2
967,Vegetable Pizza Rolls,6.49,11/2/2024,2:00 AM,5
968,Blueberry Oatmeal Cups,3.29,10/1/2024,2:49 AM,23
969,Dried Mango Slices,3.49,1/28/2024,9:52 PM,9
970,Memory Foam Pillow,39.99,9/5/2024,5:04 AM,23
971,Toasted Coconut Granola,4.99,6/5/2024,8:51 AM,23
972,Maple Bacon Jerky,6.99,11/22/2024,4:55 PM,13
973,Smashed Avocado with Lime,2.49,5/27/2024,5:49 AM,18
974,Pork Tenderloin,10.99,9/22/2024,3:39 PM,24
975,Over-the-Door Shoe Organizer,22.99,2/10/2024,8:08 AM,25
976,Photo Album,24.99,12/17/2024,8:56 PM,8
977,Bodyweight Resistance Bands,22.99,5/16/2024,3:57 PM,1
978,Lentil Pasta,4.99,1/29/2025,10:40 AM,18
979,Coffee Grinder,39.99,4/19/2024,9:47 AM,13
980,Pineapple Teriyaki Chicken Mix,6.99,1/8/2025,1:41 PM,1
981,Spicy Snack Mix,4.99,11/3/2024,5:02 AM,9
982,Winter Insulated Jacket,89.99,10/15/2024,9:11 AM,25
983,Diced Tomatoes (canned),1.49,9/17/2024,2:36 PM,7
984,Kettle Corn Popcorn,2.99,5/12/2024,9:43 AM,26
985,Baby Monitor,79.99,1/7/2024,6:45 PM,1
986,Ceramic Non-Stick Frying Pan,39.99,12/6/2024,6:24 AM,5
987,Travel Sewing Kit,12.99,1/19/2025,8:15 AM,12
988,Portable UV Sterilizer,19.99,11/4/2024,1:11 AM,9
989,Italian Sausage Links,5.99,4/7/2024,2:16 AM,9
990,Bamboo Charcoal Air Purifier Bags,12.99,10/31/2024,11:01 AM,20
991,Pork Chops,9.49,6/14/2024,2:25 AM,4
992,Cheddar Cheese Crackers,2.29,4/23/2024,8:05 AM,23
993,Indoor Grill,59.99,9/11/2024,7:58 PM,1
994,Self-Massaging Pillow,49.99,2/9/2024,10:15 AM,1
995,Berry Smoothie Mix,4.99,4/13/2024,3:24 PM,11
996,Crispy Tofu Bites,4.99,7/27/2024,1:36 PM,5
997,Electronic Drum Kit,359.99,1/20/2024,2:19 PM,16
998,Window Bird Feeder with Suction Cups,28.99,1/8/2024,2:59 AM,20
999,Organic Coconut Oil,8.99,10/8/2024,7:54 AM,19
1000,Peanut Butter Granola,4.99,8/21/2024,11:06 PM,1
